ontology_curie	biosample_name	biosample_type	biosample_life_stage	gtex_tissue	available_outputs	track_filters	total_tracks
CL:0000047	neuronal stem cell	in_vitro_differentiated_cells	embryonic		cage,chip_histone,dnase,rna_seq,splice_junctions,splice_site_usage	DNase-seq|Histone ChIP-seq H2AFZ|Histone ChIP-seq H2AK5ac|Histone ChIP-seq H2BK5ac|Histone ChIP-seq H3K18ac|Histone ChIP-seq H3K27ac|Histone ChIP-seq H3K27me3|Histone ChIP-seq H3K36me3|Histone ChIP-seq H3K4me1|Histone ChIP-seq H3K4me2|Histone ChIP-seq H3K4me3|Histone ChIP-seq H3K9me3|hCAGE CL:0000047|polyA plus RNA-seq	19
CL:0000062	osteoblast	primary_cell	adult		cage,chip_histone,chip_tf,rna_seq,splice_junctions,splice_site_usage	Histone ChIP-seq H2AFZ|Histone ChIP-seq H3K27ac|Histone ChIP-seq H3K27me3|Histone ChIP-seq H3K36me3|Histone ChIP-seq H3K4me1|Histone ChIP-seq H3K4me2|Histone ChIP-seq H3K4me3|Histone ChIP-seq H3K79me2|Histone ChIP-seq H4K20me1|TF ChIP-seq CTCF|hCAGE CL:0000062|total RNA-seq	17
CL:0000077	mesothelial cell	primary_cell			cage	LQhCAGE CL:0000077|hCAGE CL:0000077	4
CL:0000084	T-cell	primary_cell	adult		atac,chip_histone,dnase,rna_seq,splice_junctions,splice_site_usage	ATAC-seq|DNase-seq|Histone ChIP-seq H3K27ac|Histone ChIP-seq H3K27me3|Histone ChIP-seq H3K36me3|Histone ChIP-seq H3K4me1|Histone ChIP-seq H3K4me3|Histone ChIP-seq H3K9me3|polyA plus RNA-seq|total RNA-seq	18
CL:0000097	mast cell	primary_cell			cage	hCAGE CL:0000097	2
CL:0000100	motor neuron	in_vitro_differentiated_cells	adult		atac,chip_histone,rna_seq,splice_junctions,splice_site_usage	ATAC-seq|Histone ChIP-seq H3K27ac|Histone ChIP-seq H3K4me1|Histone ChIP-seq H3K4me3|total RNA-seq	8
CL:0000115	endothelial cell	in_vitro_differentiated_cells	adult		chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	DNase-seq|TF ChIP-seq CTCF|total RNA-seq	7
CL:0000121	Purkinje cell	primary_cell	child		rna_seq,splice_junctions,splice_site_usage	polyA plus RNA-seq	4
CL:0000127	astrocyte	primary_cell	unknown		chip_histone,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	DNase-seq|Histone ChIP-seq H2AFZ|Histone ChIP-seq H3K27ac|Histone ChIP-seq H3K27me3|Histone ChIP-seq H3K36me3|Histone ChIP-seq H3K4me1|Histone ChIP-seq H3K4me2|Histone ChIP-seq H3K4me3|Histone ChIP-seq H3K79me2|Histone ChIP-seq H3K9ac|Histone ChIP-seq H4K20me1|TF ChIP-seq CTCF|TF ChIP-seq EZH2|total RNA-seq	18
CL:0000134	mesenchymal stem cell	in_vitro_differentiated_cells	embryonic		cage,chip_histone,dnase,rna_seq,splice_junctions,splice_site_usage	DNase-seq|Histone ChIP-seq H2BK120ac|Histone ChIP-seq H2BK12ac|Histone ChIP-seq H3K14ac|Histone ChIP-seq H3K18ac|Histone ChIP-seq H3K27ac|Histone ChIP-seq H3K27me3|Histone ChIP-seq H3K36me3|Histone ChIP-seq H3K4ac|Histone ChIP-seq H3K4me1|Histone ChIP-seq H3K4me3|Histone ChIP-seq H3K9ac|Histone ChIP-seq H3K9me3|Histone ChIP-seq H4K8ac|Histone ChIP-seq H4K91ac|hCAGE CL:0000134|polyA plus RNA-seq	22
CL:0000136	fat cell	primary_cell	unknown		cage,chip_histone,dnase	DNase-seq|Histone ChIP-seq H3K27me3|Histone ChIP-seq H3K36me3|Histone ChIP-seq H3K4me1|Histone ChIP-seq H3K4me3|Histone ChIP-seq H3K9ac|Histone ChIP-seq H3K9me3|LQhCAGE CL:0000136	9
CL:0000137	osteocyte	in_vitro_differentiated_cells	embryonic		chip_tf,rna_seq,splice_junctions,splice_site_usage	TF ChIP-seq CTCF|total RNA-seq	6
CL:0000138	chondrocyte	in_vitro_differentiated_cells	embryonic		cage,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	DNase-seq|TF ChIP-seq CTCF|hCAGE CL:0000138|total RNA-seq	9
CL:0000169	type B pancreatic cell	in_vitro_differentiated_cells	embryonic		chip_tf,rna_seq,splice_junctions,splice_site_usage	TF ChIP-seq CTCF|total RNA-seq	6
CL:0000182	hepatocyte	in_vitro_differentiated_cells	embryonic		cage,chip_histone,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	DNase-seq|Histone ChIP-seq H2AFZ|Histone ChIP-seq H3K27ac|Histone ChIP-seq H3K4me1|Histone ChIP-seq H3K4me2|Histone ChIP-seq H3K4me3|Histone ChIP-seq H3K79me2|Histone ChIP-seq H3K9ac|TF ChIP-seq EZH2|hCAGE CL:0000182|polyA plus RNA-seq|total RNA-seq	20
CL:0000187	myocyte	in_vitro_differentiated_cells	adult		dnase,rna_seq,splice_junctions,splice_site_usage	DNase-seq|polyA plus RNA-seq|total RNA-seq	10
CL:0000188	cell of skeletal muscle	primary_cell	unknown		cage,chip_histone,dnase	DNase-seq|Histone ChIP-seq H3K4me3|hCAGE CL:0000188	4
CL:0000192	smooth muscle cell	in_vitro_differentiated_cells	embryonic		chip_histone,rna_seq,splice_junctions,splice_site_usage	Histone ChIP-seq H2AFZ|Histone ChIP-seq H3K27ac|Histone ChIP-seq H3K27me3|Histone ChIP-seq H3K4me1|Histone ChIP-seq H3K4me2|Histone ChIP-seq H3K4me3|Histone ChIP-seq H3K79me2|Histone ChIP-seq H3K9ac|Histone ChIP-seq H4K20me1|polyA plus RNA-seq|total RNA-seq	18
CL:0000214	synovial cell	primary_cell			cage	hCAGE CL:0000214	2
CL:0000216	Sertoli cell	primary_cell			cage	hCAGE CL:0000216	2
CL:0000221	ectodermal cell	in_vitro_differentiated_cells	embryonic		chip_histone,rna_seq,splice_junctions,splice_site_usage	Histone ChIP-seq H3K27me3|Histone ChIP-seq H3K36me3|Histone ChIP-seq H3K4me1|Histone ChIP-seq H3K4me3|polyA plus RNA-seq	9
